"name","SamAccountName","objectClass","memberof","userRight","lastLogonDate","AccountStatue","source_of_right"
"Administrators","Administrators","group","
","sebackupprivilege
sebatchlogonright
sechangenotifyprivilege
secreatepagefileprivilege
sedebugprivilege
seenabledelegationprivilege
seincreasebasepriorityprivilege
seincreasequotaprivilege
seinteractivelogonright
seloaddriverprivilege
senetworklogonright
seprofilesingleprocessprivilege
seremoteshutdownprivilege
serestoreprivilege
sesecurityprivilege
seshutdownprivilege
sesystemenvironmentprivilege
sesystemprofileprivilege
sesystemtimeprivilege
setakeownershipprivilege
seundockprivilege
","NA","NA","self
"
"Backup Operators","Backup Operators","group","
","sebackupprivilege
sebatchlogonright
seinteractivelogonright
serestoreprivilege
seshutdownprivilege
","NA","NA","self
"
"testgroup","testgroup","group","Backup Operators
Print Operators
","sebackupprivilege
sedelegatesessionuserimpersonateprivilege
","NA","NA","self
"
"test 5","test5","user","testgroup
","sebackupprivilege
sedelegatesessionuserimpersonateprivilege
","Never","Active","testgroup
"
"Server Operators","Server Operators","group","
","sebackupprivilege
seinteractivelogonright
seremoteshutdownprivilege
serestoreprivilege
seshutdownprivilege
sesystemtimeprivilege
","NA","NA","self
"
"Performance Log Users","Performance Log Users","group","
","sebatchlogonright
","NA","NA","self
"
"IIS_IUSRS","IIS_IUSRS","group","
","sebatchlogonright
","NA","NA","self
"
"Pre-Windows 2000 Compatible Access","Pre-Windows 2000 Compatible Access","group","
","sechangenotifyprivilege
senetworklogonright
","NA","NA","self
"
"Account Operators","Account Operators","group","
","seinteractivelogonright
","NA","NA","self
"
"Print Operators","Print Operators","group","
","seinteractivelogonright
seloaddriverprivilege
seshutdownprivilege
","NA","NA","self
"
