"name","SamAccountName","objectClass","memberof","userRight","lastLogonDate","AccountStatue","source_of_right"
"Administrators","Administrators","group","
","SeNetworkLogonRight
SeBackupPrivilege
SeChangeNotifyPrivilege
SeSystemtimePrivilege
SeCreatePagefilePrivilege
SeDebugPrivilege
SeRemoteShutdownPrivilege
SeIncreaseQuotaPrivilege
SeIncreaseBasePriorityPrivilege
SeLoadDriverPrivilege
SeBatchLogonRight
SeInteractiveLogonRight
SeSecurityPrivilege
SeSystemEnvironmentPrivilege
SeProfileSingleProcessPrivilege
SeSystemProfilePrivilege
SeRestorePrivilege
SeShutdownPrivilege
SeTakeOwnershipPrivilege
SeUndockPrivilege
SeEnableDelegationPrivilege
SeManageVolumePrivilege
SeRemoteInteractiveLogonRight
SeImpersonatePrivilege
SeCreateGlobalPrivilege
SeTimeZonePrivilege
SeCreateSymbolicLinkPrivilege
SeDelegateSessionUserImpersonatePrivilege
","NA","NA","self
"
"Administrator","Administrator","user","
Group Policy Creator Owners
Domain Admins              
Enterprise Admins          
Schema Admins              
Administrators             


","SeNetworkLogonRight
SeBackupPrivilege
SeChangeNotifyPrivilege
SeSystemtimePrivilege
SeCreatePagefilePrivilege
SeDebugPrivilege
SeRemoteShutdownPrivilege
SeIncreaseQuotaPrivilege
SeIncreaseBasePriorityPrivilege
SeLoadDriverPrivilege
SeBatchLogonRight
SeInteractiveLogonRight
SeSecurityPrivilege
SeSystemEnvironmentPrivilege
SeProfileSingleProcessPrivilege
SeSystemProfilePrivilege
SeRestorePrivilege
SeShutdownPrivilege
SeTakeOwnershipPrivilege
SeUndockPrivilege
SeEnableDelegationPrivilege
SeManageVolumePrivilege
SeRemoteInteractiveLogonRight
SeImpersonatePrivilege
SeCreateGlobalPrivilege
SeTimeZonePrivilege
SeCreateSymbolicLinkPrivilege
SeDelegateSessionUserImpersonatePrivilege
","1/21/2025 10:53:52 AM","Active","Administrators
"
"Pre-Windows 2000 Compatible Access","Pre-Windows 2000 Compatible Access","group","
","SeNetworkLogonRight
SeChangeNotifyPrivilege
","NA","NA","self
"
"Server Operators","Server Operators","group","
","SeBackupPrivilege
SeSystemtimePrivilege
SeRemoteShutdownPrivilege
SeInteractiveLogonRight
SeRestorePrivilege
SeShutdownPrivilege
SeTimeZonePrivilege
","NA","NA","self
"
"Backup Operators","Backup Operators","group","
","SeBackupPrivilege
SeBatchLogonRight
SeInteractiveLogonRight
SeRestorePrivilege
SeShutdownPrivilege
","NA","NA","self
"
"test 4","test4","user","
Backup Operators


","SeBackupPrivilege
SeBatchLogonRight
SeInteractiveLogonRight
SeRestorePrivilege
SeShutdownPrivilege
","Never","Active","Backup Operators
"
"test 5","test5","user","
testgroup


","SeBackupPrivilege
SeCreatePermanentPrivilege
SeLoadDriverPrivilege
SeBatchLogonRight
SeInteractiveLogonRight
SeRestorePrivilege
SeShutdownPrivilege
SeCreateSymbolicLinkPrivilege
","Never","Active","Backup Operators
testgroup
Print Operators
"
"Test 1","test1","user","
IT  


","SeCreateTokenPrivilege
SeSyncAgentPrivilege
","Never","Active","self
"
"testgroup","testgroup","group","
Backup Operators
Print Operators 


","SeCreatePermanentPrivilege
SeCreateSymbolicLinkPrivilege
","NA","NA","self
"
"Print Operators","Print Operators","group","
","SeLoadDriverPrivilege
SeInteractiveLogonRight
SeShutdownPrivilege
","NA","NA","self
"
"test 3","test3","user","
Print Operators


","SeLoadDriverPrivilege
SeInteractiveLogonRight
SeShutdownPrivilege
","Never","Active","Print Operators
"
"Performance Log Users","Performance Log Users","group","
","SeBatchLogonRight
","NA","NA","self
"
"IIS_IUSRS","IIS_IUSRS","group","
","SeBatchLogonRight
SeImpersonatePrivilege
","NA","NA","self
"
"Account Operators","Account Operators","group","
","SeInteractiveLogonRight
","NA","NA","self
"
"Users","Users","group","
","SeIncreaseWorkingSetPrivilege
","NA","NA","self
"
